Colony,Colony_code,Season,Date,Day,Month,Year,Image_ID,Guano_area
Cape Crozier,CROZ,2009,20100119,19,Jan,2010,1.03001E+15,362620.9025
Cape Crozier,CROZ,2010,20110128,28,Jan,2011,1030010009B63400,352712.8206
Cape Crozier,CROZ,2011,20120207,7,Feb,2012,10300100115E5A00,340570.0785
Cape Crozier,CROZ,2014,20150216,16,Feb,2015,10400100081F8F00,376909.6268
Cape Crozier,CROZ,2015,20160203,3,Feb,2016,103001005058C700,343908.5699
Cape Crozier,CROZ,2016,20170128,28,Jan,2017,1.03001E+15,399483.1383
Cape Crozier,CROZ,2017,20180210,10,Feb,2018,1040010039D26800,536183.8226
Cape Crozier,CROZ,2018,20181212,12,Dec,2018,1040010045C93C00,507637.4111
Cape Crozier,CROZ,2019,20191223,23,Dec,2019,1.04001E+15,386351.6284
Cape Crozier,CROZ,2020,20201206,6,Dec,2020,10400100630C6700,445737.7466
Cape Bird,BIRD,2009,20100102,2,Jan,2010,101001000AE17E00,115684.754
Cape Bird,BIRD,2010,20101218,18,Dec,2010,1030010008B9EA00,131544.7006
Cape Bird,BIRD,2011,20120208,8,Feb,2012,10300100111A3800,140159.4725
Cape Bird,BIRD,2013,20140106,6,Jan,2014,103001002B074F00,127094.6739
Cape Bird,BIRD,2014,20150216,16,Feb,2015,103001003E7CFB00,159411.9951
Cape Bird,BIRD,2015,20160202,2,Feb,2016,104001001715DD00,145502.1661
Cape Bird,BIRD,2016,20170211,11,Feb,2017,10400100296F0700,121353.2059
Cape Bird,BIRD,2017,20180112,12,Jan,2018,10300100775D7200,149648.6935
Cape Bird,BIRD,2018,20190110,10,Jan,2019,105001001402DE00,132017.7621
Cape Bird,BIRD,2020,20201208,8,Dec,2020,10300100AF67A700,149823.4784
Cape Royds,ROYD,2010,20110214,14,Feb,2011,1030010009272D00,14272.3352
Cape Royds,ROYD,2011,20120128,28,Jan,2012,1030010011532B00,6748.4723
Cape Royds,ROYD,2013,20140107,7,Jan,2014,103001002B7BC300,10278.6882
Cape Royds,ROYD,2015,20151205,5,Dec,2015,103001004E6C0B00,11701.6118
Cape Royds,ROYD,2016,20170211,11,Feb,2017,10300100631E8500,4436.8033
Cape Royds,ROYD,2017,20180129,29,Jan,2018,104001003831B500,7012.1785
Cape Royds,ROYD,2020,20210122,22,Jan,2021,10300100B40AEF00,10193.1999
Inexpressible Island,INEX,2013,20131204,4,Dec,2013,103001002A88E000,68654.6981
Inexpressible Island,INEX,2017,20180221,21,Feb,2018,1.03001E+15,75564.0224
Inexpressible Island,INEX,2018,20190110,10,Jan,2019,103001008A4D7F00,83632.1267
