Colony,Site_ID,Year,Image_date,Julian_date,Guano_area,BP,PAR,SD_PAR,Slope,SD_Slope,Aspect,SD_Aspect
Cape Crozier,CROZ,2009,20100119,10019,362620.9025,282515,7.68607,4.44491,12.30569432,4.4789,75.3706664,67.13967655
Cape Crozier,CROZ,2010,20110128,11028,352712.8206,278928,7.827,4.13538,12.30569432,4.4789,75.3706664,67.13967655
Cape Crozier,CROZ,2011,20120207,12038,340570.0785,276297,7.50522,4.28156,12.30569432,4.4789,75.3706664,67.13967655
Cape Crozier,CROZ,2012,,,,272340,,,12.30569432,4.4789,75.3706664,67.13967655
Cape Crozier,CROZ,2013,,,,280787,,,12.30569432,4.4789,75.3706664,67.13967655
Cape Crozier,CROZ,2014,20150216,15047,376909.6268,281308,8.8547,3.4693,12.30569432,4.4789,75.3706664,67.13967655
Cape Crozier,CROZ,2015,20160203,16034,343908.5699,304733,7.0603,4.6099,12.30569432,4.4789,75.3706664,67.13967655
Cape Crozier,CROZ,2016,20170128,17028,399483.1383,280581,7.76822,4.2748,12.30569432,4.4789,75.3706664,67.13967655
Cape Crozier,CROZ,2017,20180210,18041,536183.8226,287091,8.88152,3.51992,12.30569432,4.4789,75.3706664,67.13967655
Cape Crozier,CROZ,2018,20181212,18346,507637.4111,312559,8.43014,3.79771,12.30569432,4.4789,75.3706664,67.13967655
Cape Crozier,CROZ,2019,20191223,19357,386351.6284,385665,8.21536,3.92485,12.30569432,4.4789,75.3706664,67.13967655
Cape Crozier,CROZ,2020,20201206,20341,445737.7466,,8.29412,3.9933,12.30569432,4.4789,75.3706664,67.13967655
Cape Crozier,CROZ,2021,,,,250130,,,12.30569432,4.4789,75.3706664,67.13967655
Cape Bird,BIRD,2009,20100102,10002,115684.754,67122,3.2539,2.05346,9.27006,5.85204,278.4378919,74.4357635
Cape Bird,BIRD,2010,20101218,10352,131544.7006,68525,3.65831,3.16892,9.27006,5.85204,278.4378919,74.4357635
Cape Bird,BIRD,2011,20120208,12039,140159.4725,59875,3.76019,3.0612,9.27006,5.85204,278.4378919,74.4357635
Cape Bird,BIRD,2012,,,,75696,,,9.27006,5.85204,278.4378919,74.4357635
Cape Bird,BIRD,2013,20140106,14006,127094.6739,66679,3.73842,2.64051,9.27006,5.85204,278.4378919,74.4357635
Cape Bird,BIRD,2014,20150216,15047,159411.9951,77347,4.19771,3.00282,9.27006,5.85204,278.4378919,74.4357635
Cape Bird,BIRD,2015,20160202,16033,145502.1661,76476,4.88662,4.32697,9.27006,5.85204,278.4378919,74.4357635
Cape Bird,BIRD,2016,20170211,17042,121353.2059,58554,4.88343,3.62567,9.27006,5.85204,278.4378919,74.4357635
Cape Bird,BIRD,2017,20180112,18012,149648.6935,63734,3.86874,2.34893,9.27006,5.85204,278.4378919,74.4357635
Cape Bird,BIRD,2018,20190110,19010,132017.7621,65205,5.21495,4.07432,9.27006,5.85204,278.4378919,74.4357635
Cape Bird,BIRD,2019,,,,72733,,,9.27006,5.85204,278.4378919,74.4357635
Cape Bird,BIRD,2020,20201208,20343,149823.4784,,4.08221,3.40079,9.27006,5.85204,278.4378919,74.4357635
Cape Bird,BIRD,2021,,,,61870,,,9.27006,5.85204,278.4378919,74.4357635
Cape Royds,ROYD,2009,,,,2609,,,12.22455,7.22392,182.8955674,125.6860761
Cape Royds,ROYD,2010,20110214,11045,14272.3352,2513,3.975230254,2.056302,12.22455,7.22392,182.8955674,125.6860761
Cape Royds,ROYD,2011,20120128,12028,6748.4723,2887,3.9617,3.08493,12.22455,7.22392,182.8955674,125.6860761
Cape Royds,ROYD,2012,,,,3083,,,12.22455,7.22392,182.8955674,125.6860761
Cape Royds,ROYD,2013,20140107,14007,10278.6882,2944,4.40803,3.16187,12.22455,7.22392,182.8955674,125.6860761
Cape Royds,ROYD,2014,,,,3187,,,12.22455,7.22392,182.8955674,125.6860761
Cape Royds,ROYD,2015,20151205,15339,11701.6118,3097,3.73931,2.27131,12.22455,7.22392,182.8955674,125.6860761
Cape Royds,ROYD,2016,20170211,17042,4436.8033,1746,4.2766,2.40124,12.22455,7.22392,182.8955674,125.6860761
Cape Royds,ROYD,2017,20180129,18029,7012.1785,2629,4.65031,4.45957,12.22455,7.22392,182.8955674,125.6860761
Cape Royds,ROYD,2018,,,,3103,,,12.22455,7.22392,182.8955674,125.6860761
Cape Royds,ROYD,2019,,,,3058,,,12.22455,7.22392,182.8955674,125.6860761
Cape Royds,ROYD,2020,20210122,21022,10193.1999,,5.27952,3.46825,12.22455,7.22392,182.8955674,125.6860761
Cape Royds,ROYD,2021,,,,1807,,,12.22455,7.22392,182.8955674,125.6860761
Inexpressible Island,INEX,2009,,,,,,,5.38842,2.4575,95.72149359,40.95586623
Inexpressible Island,INEX,2010,,,,,,,5.38842,2.4575,95.72149359,40.95586623
